id,target
133627,87.242
133629,30.015
133630,36.04
133631,32.052
133633,29.232
133634,35.206
133635,62.593
133637,33.09
133638,36.277
133639,32.294
133641,29.448
133642,35.658
133643,93.961
133645,36.691
133646,38.808
133647,36.824
133649,36.343
133650,36.836
133651,95.166
133653,36.65
133654,37.291
133655,36.391
133657,35.926
133658,35.763
133659,99.323
133661,35.293
133662,36.858
133663,36.228
133665,36.253
133666,35.534
133667,98.144
133669,36.718
133670,37.231
133671,37.355
133673,37.02
133674,37.694
133675,93.394
133677,41.572
133678,41.124
133679,42.383
133681,42.289
133682,41.194
133683,77.921
133685,39.5
133686,39.365
133687,41.383
133689,39.18
133690,39.481
133691,46.812
133693,32.431
133694,33.696
133695,35.157
133697,35.994
133698,32.982
133699,28.686
133701,26.806
133702,27.042
133703,29.181
133705,29.81
133706,26.811
133707,24.151
133709,23.667
133710,24.855
133711,27.392
133713,29.292
133714,23.804
133715,22.27
133717,23.837
133718,25.477
133719,31.49
133721,34.25
133722,24.358
133723,24.921
133725,26.131
133726,27.857
133727,37.212
133729,38.113
133730,26.106
133731,24.467
133733,26.916
133734,28.014
133735,44.191
133737,40.465
133738,27.594
133739,26.08
133741,30.502
133742,32.237
133743,45.108
133745,43.759
133746,29.516
133747,29.697
133749,33.719
133750,35.646
133751,38.774
133753,50.492
133754,31.873
133755,30.168
133757,33.792
133758,30.681
133759,35.868
133761,47.747
133762,31.553
133763,42.797
133765,40.09
133766,40.699
133767,42.38
133769,47.181
133770,38.493
133771,67.105
133773,61.715
133774,62.899
133775,61.699
133777,62.893
133778,62.807
133779,105.058
133781,98.414
133782,86.43
133783,90.355
133785,85.881
133786,85.538
133787,107.094
133789,71.166
133790,79.626
133791,51.794
133793,62.734
133794,67.05
133795,88.682
133797,41.657
133798,58.525
133799,37.281
133801,46.948
133802,41.347
133803,67.921
133805,30.193
133806,41.49
133807,32.217
133809,37.348
133810,32.149
133811,72.747
133813,29.2
133814,35.495
133815,32.94
133817,32.666
133818,30.631
133819,74.291
133820,29.7
133821,34.044
133822,30.677
133823,32.569
133824,28.669
133825,76.021
133826,29.779
133827,32.724
133828,29.313
133829,29.195
133830,29.277
133831,75.715
133832,28.691
133833,31.314
133834,29.362
133835,29.594
133836,28.056
133837,76.704
133838,28.088
133839,29.757
133840,28.296
133841,28.043
133842,27.813
133843,89.739
133844,28.968
133845,30.564
133846,28.891
133847,28.862
133848,29.576
133849,87.695
133850,32.047
133851,32.709
133852,31.094
133853,30.98
