id,target
133627,81.953
133629,27.928
133630,34.117
133631,29.342
133633,27.323
133634,32.462
133635,60.608
133637,30.326
133638,33.864
133639,29.271
133641,27.09
133642,32.58
133643,87.88
133645,33.205
133646,35.813
133647,33.491
133649,32.866
133650,33.418
133651,89.072
133653,33.053
133654,34.406
133655,33.238
133657,32.476
133658,32.474
133659,93.293
133661,32.118
133662,34.141
133663,33.079
133665,32.906
133666,32.384
133667,92.127
133669,33.627
133670,34.657
133671,34.241
133673,33.719
133674,34.46
133675,87.529
133677,38.67
133678,38.855
133679,39.462
133681,39.187
133682,38.504
133683,73.736
133685,36.963
133686,36.834
133687,38.193
133689,36.462
133690,37.074
133691,43.559
133693,29.853
133694,31.275
133695,31.951
133697,33.078
133698,30.32
133699,26.936
133701,24.948
133702,25.522
133703,26.812
133705,27.726
133706,24.949
133707,22.725
133709,22.556
133710,23.669
133711,25.269
133713,27.593
133714,22.635
133715,21.525
133717,23.162
133718,24.687
133719,29.704
133721,32.611
133722,23.601
133723,23.972
133725,25.491
133726,27.029
133727,35.234
133729,36.615
133730,25.41
133731,24.242
133733,26.939
133734,27.716
133735,41.892
133737,39.838
133738,27.555
133739,28.111
133741,32.451
133742,33.419
133743,43.081
133745,45.281
133746,31.643
133747,33.233
133749,37.438
133750,37.139
133751,37.389
133753,53.065
133754,35.917
133755,36.125
133757,40.498
133758,34.453
133759,34.412
133761,53.138
133762,38.306
133763,47.511
133765,44.926
133766,42.761
133767,40.345
133769,51.733
133770,43.314
133771,75.858
133773,68.365
133774,64.06
133775,59.337
133777,66.985
133778,69.498
133779,122.173
133781,111.562
133782,92.147
133783,92.274
133785,94.376
133786,99.924
133787,115.745
133789,77.836
133790,82.983
133791,55.09
133793,68.386
133794,74.264
133795,86.573
133797,40.017
133798,55.871
133799,35.206
133801,44.592
133802,39.803
133803,65.681
133805,29.023
133806,39.754
133807,30.371
133809,35.172
133810,30.742
133811,69.574
133813,27.35
133814,33.794
133815,30.734
133817,30.676
133818,28.626
133819,71.101
133820,27.736
133821,32.429
133822,28.465
133823,30.362
133824,26.847
133825,72.459
133826,27.809
133827,31.0
133828,27.409
133829,27.201
133830,27.335
133831,72.403
133832,26.673
133833,29.523
133834,27.476
133835,27.352
133836,26.119
133837,73.568
133838,26.18
133839,28.116
133840,26.577
133841,26.036
133842,25.981
133843,85.464
133844,27.077
133845,28.893
133846,27.158
133847,26.883
133848,27.609
133849,83.517
133850,29.992
133851,30.945
133852,29.166
133853,28.893
133854,30.29
133855,80.448
133856,36.611
133857,35.484
133858,35.526
133859,34.425
133860,36.696
133861,66.976
133862,33.805
133863,32.432
133864,32.051
133865,31.711
133866,34.049
133867,30.723
133868,23.136
133869,22.335
133870,22.877
133871,23.714
133872,23.495
133873,19.525
133874,18.6
133875,17.631
133876,18.488
133877,20.195
133878,18.946
133879,17.731
133880,18.294
133881,17.264
133882,19.091
133883,21.475
133884,18.693
133885,18.304
133886,21.543
133887,19.563
133888,24.925
133889,27.747
133890,21.936
133891,22.175
133892,25.434
133893,22.768
133894,29.124
133895,32.201
133896,25.575
133897,24.578
133898,27.755
133899,25.543
133900,30.013
133901,36.115
133902,28.076
133903,30.358
133904,30.896
133905,27.64
133906,28.74
133907,38.819
133908,30.824
133909,33.961
133910,32.71
133911,29.492
133912,26.493
133913,42.728
133914,31.235
133915,35.874
133916,34.827
133917,29.987
133918,24.595
133919,43.904
133920,33.587
133921,44.973
133922,35.31
133923,28.181
133924,25.825
133925,43.035
133926,36.868
133927,83.808
133928,62.078
133929,49.788
133930,47.617
133931,64.226
133932,66.997
133933,146.076
133934,111.182
133935,86.909
133936,86.152
133937,104.546
133938,113.556
133939,119.535
133940,71.997
133941,72.442
133942,62.072
133943,66.22
133944,75.326
133945,88.108
133946,44.911
133947,47.559
133948,42.272
133949,44.214
133950,41.169
133951,65.497
133952,32.376
133953,37.59
133954,34.894
133955,34.015
133956,32.279
133957,67.018
133958,27.867
133959,29.879
133960,28.794
133961,34.053
133962,27.171
133963,63.581
133964,24.013
133965,29.082
133966,22.277
133967,28.07
133968,27.578
133969,64.061
133970,25.378
133971,28.613
133972,23.478
133973,22.916
133974,26.338
133975,66.852
133976,26.736
133977,27.5
133978,26.847
133979,26.865
133980,25.49
133981,67.995
133982,26.146
133983,27.577
133984,25.832
133985,25.813
133986,26.169
133987,76.139
133988,27.831
133989,28.924
133990,26.734
133991,26.892
133992,27.555
133993,76.817
133994,30.742
133995,30.312
133996,29.32
133997,27.839
133998,31.067
133999,78.555
134000,36.554
134001,35.253
134002,33.098
134003,31.827
134004,37.234
134005,65.573
134006,33.422
134007,32.113
134008,30.551
134009,30.356
134010,34.176
134011,28.205
134012,21.564
134013,21.253
134014,20.939
134015,21.646
134016,21.948
134017,17.294
134018,17.258
134019,16.57
134020,16.899
134021,18.603
134022,17.585
134023,18.565
134024,18.881
134025,19.118
134026,19.413
134027,21.906
134028,19.166
134029,20.601
134030,23.899
134031,24.112
134032,26.979
134033,30.45
134034,24.257
134035,24.807
134036,26.923
134037,28.325
134038,39.01
134039,38.401
134040,27.057
134041,27.904
134042,29.949
134043,31.914
134044,35.026
134045,44.076
134046,30.176
134047,31.673
134048,33.817
134049,34.74
134050,33.971
134051,48.882
134052,33.895
134053,35.95
134054,37.581
134055,37.08
134056,32.603
134057,57.648
134058,37.512
134059,39.938
134060,41.646
134061,39.21
134062,36.009
134063,47.275
134064,41.456
134065,50.236
134066,46.998
134067,42.967
134068,37.351
134069,52.497
134070,46.749
134071,102.904
134072,96.575
134073,82.806
134074,74.415
134075,76.786
134076,94.304
134077,233.819
134078,209.633
134079,189.525
134080,180.879
134081,182.356
134082,211.644
134083,113.595
134084,78.136
134085,79.962
134086,66.824
134087,69.517
134088,84.795
134089,67.922
134090,32.46
134091,41.051
134092,33.778
134093,38.997
134094,37.212
134095,53.584
134096,19.572
134097,28.608
134098,21.854
134099,22.321
134100,20.277
134101,51.601
134102,15.962
134103,26.37
134104,18.171
134105,16.658
134106,16.51
134107,53.922
134108,13.749
134109,19.808
134110,17.868
134111,16.902
134112,14.123
134113,52.231
134114,13.176
134115,20.075
134116,17.042
134117,13.195
134118,12.63
134119,53.383
134120,12.252
134121,20.243
134122,17.533
134123,15.283
134124,13.01
134125,54.666
134126,12.542
134127,19.653
134128,17.809
134129,15.636
134130,13.536
134131,60.93
134132,13.319
134133,20.43
134134,19.156
134135,18.147
134136,15.202
134137,61.987
134138,17.282
134139,22.843
134140,21.445
134141,20.836
134142,16.561
134143,57.794
134144,19.799
134145,25.791
134146,24.927
134147,24.44
134148,21.953
134149,44.925
134150,18.87
134151,23.955
134152,22.724
134153,22.643
134154,21.203
134155,16.957
134156,12.123
134157,15.158
134158,14.944
134159,15.767
134160,12.053
134161,10.523
134162,10.072
134163,13.611
134164,13.961
134165,15.78
134166,10.094
134167,12.494
134168,11.196
134169,16.329
134170,17.511
134171,19.707
134172,8.483
134173,14.659
134174,16.487
134175,19.308
134176,22.598
134177,24.405
134178,10.589
134179,21.451
134180,24.137
134181,25.502
134182,29.75
134183,33.815
134184,19.298
134185,27.329
134186,29.716
134187,29.724
134188,35.612
134189,40.01
134190,27.238
134191,31.356
134192,37.488
134193,33.511
134194,39.283
134195,47.381
134196,33.035
134197,37.46
134198,42.896
134199,40.087
134200,37.271
134201,58.787
134202,38.459
134203,37.329
134204,44.845
134205,42.164
134206,35.795
134207,58.049
134208,43.48
134209,41.543
134210,44.148
134211,40.097
134212,33.768
134213,51.181
134214,46.407
134215,83.746
134216,69.558
134217,64.675
134218,52.869
134219,72.515
134220,73.815
134221,99.008
134222,92.249
134223,68.737
134224,70.81
134225,84.671
134226,96.888
134227,72.105
134228,49.775
134229,37.362
134230,40.985
134231,44.232
134232,54.785
134233,53.746
134234,29.533
134235,28.988
134236,14.135
134237,31.44
134238,28.172
134239,41.234
134240,17.626
134241,21.497
134242,13.096
134243,10.227
134244,19.623
134245,41.135
134246,12.366
134247,17.239
134248,9.833
134249,10.606
134250,11.937
134251,49.195
134252,13.346
134253,18.529
134254,11.461
134255,12.2
134256,14.286
134257,46.248
134258,10.688
134259,15.372
134260,10.216
134261,9.622
134262,11.627
134263,45.66
134264,9.513
134265,14.656
134266,12.527
134267,9.763
134268,10.416
134269,46.46
134270,9.291
134271,14.548
134272,14.488
134273,11.244
134274,10.108
134275,51.257
134276,10.401
134277,14.17
134278,16.421
134279,12.591
134280,10.846
134281,51.214
134282,13.223
134283,17.901
134284,18.654
134285,15.164
134286,13.394
134287,50.279
134288,19.69
134289,23.715
134290,23.808
134291,19.798
134292,19.944
134293,40.084
134294,17.834
134295,22.243
134296,21.676
134297,19.125
134298,18.327
134299,24.932
134300,12.398
134301,17.821
134302,16.91
134303,15.992
134304,12.386
134305,19.268
134306,11.377
134307,16.054
134308,17.555
134309,18.834
134310,11.983
134311,15.026
134312,10.024
134313,16.691
134314,19.77
134315,21.88
134316,10.379
134317,9.108
134318,10.234
134319,18.381
134320,23.372
134321,25.631
134322,10.445
134323,25.597
134324,14.209
134325,22.575
134326,28.233
134327,30.192
134328,14.116
134329,28.448
134330,17.515
134331,25.478
134332,29.084
134333,33.539
134334,18.733
134335,32.911
134336,24.703
134337,30.568
134338,33.864
134339,43.395
134340,24.305
134341,36.999
134342,25.323
134343,35.82
134344,39.419
134345,53.727
134346,29.502
134347,45.595
134348,26.042
134349,40.107
134350,42.847
134351,64.749
134352,29.827
134353,52.567
134354,26.436
134355,38.726
134356,47.856
134357,55.913
134358,26.334
134359,93.584
134360,47.688
134361,50.889
134362,75.506
134363,78.225
134364,47.973
134365,123.084
134366,66.172
134367,59.697
134368,91.535
134369,95.543
134370,69.184
134371,75.735
134372,50.089
134373,41.484
